adapter_id	source	model_name	task	subtask
@ukp/facebook-bart-base_sentiment_sst-2_pfeiffer	ah	facebook/bart-base	sentiment	sst-2
@ukp/gpt2_sts_sts-b_houlsby	ah	gpt2	sts	sts-b
@ukp/gpt2_sts_mrpc_houlsby	ah	gpt2	sts	mrpc
@ukp/roberta-base-csqa_pfeiffer	ah	roberta-base	comsense	csqa
@ukp/bert-base-uncased-cosmosqa_pfeiffer	ah	bert-base-uncased	comsense	cosmosqa
@ukp/xlm-roberta-base-el-wiki_pfeiffer	ah	xlm-roberta-base	el	wiki
@ukp/bert-base-uncased_lingaccept_cola_pfeiffer	ah	bert-base-uncased	lingaccept	cola
@ukp/bert-base-multilingual-cased_kv_wiki_pfeiffer	ah	bert-base-multilingual-cased	kv	wiki
@ukp/xlm-roberta-base-hi-wiki_pfeiffer	ah	xlm-roberta-base	hi	wiki
@ukp/bert-base-uncased_sts_sts-b_pfeiffer	ah	bert-base-uncased	sts	sts-b
@ukp/bert-base-multilingual-cased-fr-wiki_pfeiffer	ah	bert-base-multilingual-cased	fr	wiki
@ukp/bert-base-multilingual-cased-cdo-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	cdo	wiki
@ukp/xlm-roberta-large-mi-wiki_pfeiffer	ah	xlm-roberta-large	mi	wiki
@ukp/xlm-roberta-large-sw-wiki_pfeiffer	ah	xlm-roberta-large	sw	wiki
@ukp/gpt2_nli_rte_pfeiffer	ah	gpt2	nli	rte
@ukp/xlm-roberta-base-tr-wiki_pfeiffer	ah	xlm-roberta-base	tr	wiki
@ukp/bert-base-multilingual-cased-tk-wiki_houlsby	ah	bert-base-multilingual-cased	tk	wiki
@ukp/bert-base-multilingual-cased-mhr-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	mhr	wiki
@ukp/distilbert-base-uncased_rc_race_pfeiffer	ah	distilbert-base-uncased	rc	race
@ukp/facebook-bart-base_sentiment_sst-2_houlsby	ah	facebook/bart-base	sentiment	sst-2
@ukp/xlm-roberta-large-en-wiki_pfeiffer	ah	xlm-roberta-large	en	wiki
@ukp/roberta-large-cola_pfeiffer	ah	roberta-large	lingaccept	cola
@ukp/bert-base-multilingual-cased-my-wiki_pfeiffer	ah	bert-base-multilingual-cased	my	wiki
@ukp/xlm-roberta-base-it-wiki_pfeiffer	ah	xlm-roberta-base	it	wiki
@ukp/bert-base-multilingual-cased-el-wiki_pfeiffer	ah	bert-base-multilingual-cased	el	wiki
@ukp/xlm-roberta-base-mhr-wiki_pfeiffer	ah	xlm-roberta-base	mhr	wiki
@ukp/roberta-base_qa_squad2_houlsby	ah	roberta-base	qa	squad2
@ukp/gpt2_nli_rte_houlsby	ah	gpt2	nli	rte
@ukp/roberta-large-qnli_houlsby	ah	roberta-large	nli	qnli
@ukp/xlm-roberta-large-gn-wiki_pfeiffer	ah	xlm-roberta-large	gn	wiki
@ukp/facebook-bart-base_sts_sts-b_houlsby	ah	facebook/bart-base	sts	sts-b
@ukp/bert-base-multilingual-cased-es-wiki_houlsby	ah	bert-base-multilingual-cased	es	wiki
@ukp/bert-base-multilingual-cased_la_wiki_pfeiffer	ah	bert-base-multilingual-cased	la	wiki
@ukp/bert-base-multilingual-cased-xmf-wiki_pfeiffer	ah	bert-base-multilingual-cased	xmf	wiki
@ukp/bert-base-multilingual-cased-en-wiki_houlsby	ah	bert-base-multilingual-cased	en	wiki
@ukp/bert-base-multilingual-cased-fr-wiki_houlsby	ah	bert-base-multilingual-cased	fr	wiki
@ukp/xlm-roberta-base-qu-wiki_pfeiffer	ah	xlm-roberta-base	qu	wiki
@ukp/bert-base-multilingual-cased_wikiann_ner_ja_pfeiffer	ah	bert-base-multilingual-cased	wikiann	ja
@ukp/gpt2_sts_qqp_pfeiffer	ah	gpt2	sts	qqp
@ukp/xlm-roberta-base-es-wiki_pfeiffer	ah	xlm-roberta-base	es	wiki
@ukp/xlm-roberta-base-de-wiki_pfeiffer	ah	xlm-roberta-base	de	wiki
@ukp/bert-base-multilingual-cased_se_wiki_pfeiffer	ah	bert-base-multilingual-cased	se	wiki
@ukp/facebook-bart-base_sts_qqp_houlsby	ah	facebook/bart-base	sts	qqp
@ukp/bert-base-multilingual-cased-ja-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	ja	wiki
@ukp/bert-base-uncased_sts_mrpc_pfeiffer	ah	bert-base-uncased	sts	mrpc
@ukp/bert-base-uncased_sentiment_sst-2_pfeiffer	ah	bert-base-uncased	sentiment	sst-2
@ukp/bert-base-multilingual-cased-mi-wiki_houlsby	ah	bert-base-multilingual-cased	mi	wiki
@ukp/roberta-base-cb_pfeiffer	ah	roberta-base	nli	cb
@ukp/distilbert-base-uncased_sentiment_imdb_pfeiffer	ah	distilbert-base-uncased	sentiment	imdb
@ukp/roberta-base-boolq_pfeiffer	ah	roberta-base	qa	boolq
@ukp/bert-base-multilingual-cased-ilo-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	ilo	wiki
@ukp/bert-base-uncased_nli_qnli_pfeiffer	ah	bert-base-uncased	nli	qnli
@ukp/facebook-bart-base_nli_rte_pfeiffer	ah	facebook/bart-base	nli	rte
@ukp/roberta-large-mrpc_pfeiffer	ah	roberta-large	sts	mrpc
@ukp/facebook-mbart-large-cc25_translation_wmt16_ro_en_pfeiffer	ah	facebook/mbart-large-cc25	mt	wmt16_en_ro
@ukp/roberta-base-cosmosqa_pfeiffer	ah	roberta-base	comsense	cosmosqa
@ukp/roberta-base-sst_pfeiffer	ah	roberta-base	sentiment	sst-2
@ukp/roberta-base-rte_pfeiffer	ah	roberta-base	nli	rte
@ukp/gpt2_lingaccept_cola_pfeiffer	ah	gpt2	lingaccept	cola
@ukp/roberta-base-sts_b_houlsby	ah	roberta-base	sts	sts-b
@ukp/roberta-base-multinli_pfeiffer	ah	roberta-base	nli	multinli
@ukp/bert-base-uncased_nli_rte_pfeiffer	ah	bert-base-uncased	nli	rte
@ukp/facebook-bart-base_sts_sts-b_pfeiffer	ah	facebook/bart-base	sts	sts-b
@ukp/bert-base-uncased_qa_squad2_pfeiffer	ah	bert-base-uncased	qa	squad2
@ukp/bert-base-uncased_sts_mrpc_houlsby	ah	bert-base-uncased	sts	mrpc
@ukp/bert-base-uncased-siqa_pfeiffer	ah	bert-base-uncased	comsense	siqa
@ukp/distilbert-base-uncased_nli_qnli_houlsby	ah	distilbert-base-uncased	nli	qnli
@ukp/distilbert-base-uncased_nli_multinli_pfeiffer	ah	distilbert-base-uncased	nli	multinli
@ukp/xlm-roberta-large-is-wiki_pfeiffer	ah	xlm-roberta-large	is	wiki
@ukp/bert-base-multilingual-cased-is-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	is	wiki
@ukp/xlm-roberta-base-jv-wiki_pfeiffer	ah	xlm-roberta-base	jv	wiki
@ukp/gpt2_lm_poem_pfeiffer	ah	gpt2	lm	poem
@ukp/bert-base-multilingual-cased-sw-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	sw	wiki
@ukp/bert-base-uncased-ner-pfeiffer	ah	bert-base-uncased	ner	conll2003
@ukp/bert-base-uncased-winogrande_pfeiffer	ah	bert-base-uncased	comsense	winogrande
@ukp/xlm-roberta-base-et-wiki_pfeiffer	ah	xlm-roberta-base	et	wiki
@ukp/xlm-roberta-large-qu-wiki_pfeiffer	ah	xlm-roberta-large	qu	wiki
@ukp/bert-base-multilingual-cased-cdo-wiki_pfeiffer	ah	bert-base-multilingual-cased	cdo	wiki
@ukp/distilbert-base-uncased_lingaccept_cola_pfeiffer	ah	distilbert-base-uncased	lingaccept	cola
@ukp/bert-base-uncased_sts_stackexchange_pfeiffer	ah	bert-base-uncased	sts	stackexchange
@ukp/bert-base-multilingual-cased-xmf-wiki_houlsby	ah	bert-base-multilingual-cased	xmf	wiki
@ukp/xlm-roberta-base-tk-wiki_pfeiffer	ah	xlm-roberta-base	tk	wiki
@ukp/bert-base-multilingual-cased-zh-wiki_houlsby	ah	bert-base-multilingual-cased	zh	wiki
@ukp/roberta-base-hellaswag_pfeiffer	ah	roberta-base	comsense	hellaswag
@ukp/bert-base-multilingual-cased-ar-wiki_pfeiffer	ah	bert-base-multilingual-cased	ar	wiki
@ukp/bert-base-multilingual-cased-gn-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	gn	wiki
@ukp/bert-base-uncased-ukpsent1_pfeiffer	ah	bert-base-uncased	argument	ukpsent
@ukp/bert-base-multilingual-cased-tk-wiki_pfeiffer	ah	bert-base-multilingual-cased	tk	wiki
@ukp/bert-base-multilingual-cased_pt_wiki_pfeiffer	ah	bert-base-multilingual-cased	pt	wiki
@ukp/xlm-roberta-base-xmf-wiki_pfeiffer	ah	xlm-roberta-base	xmf	wiki
@ukp/bert-base-uncased_sts_qqp_pfeiffer	ah	bert-base-uncased	sts	qqp
@ukp/bert-base-uncased_nli_rte_houlsby	ah	bert-base-uncased	nli	rte
@ukp/distilbert-base-uncased_qa_squad1_houlsby	ah	distilbert-base-uncased	qa	squad1
@ukp/gpt2_nli_qnli_houlsby	ah	gpt2	nli	qnli
@ukp/distilbert-base-uncased_sentiment_rotten_tomatoes_pfeiffer	ah	distilbert-base-uncased	sentiment	rotten_tomatoes
@ukp/xlm-roberta-base-zh-wiki_pfeiffer	ah	xlm-roberta-base	zh	wiki
@ukp/xlm-roberta-large-cdo-wiki_pfeiffer	ah	xlm-roberta-large	cdo	wiki
@ukp/bert-base-uncased-sick_pfeiffer	ah	bert-base-uncased	nli	sick
@ukp/xlm-roberta-base-ru-wiki_pfeiffer	ah	xlm-roberta-base	ru	wiki
@ukp/xlm-roberta-base-ja-wiki_pfeiffer	ah	xlm-roberta-base	ja	wiki
@ukp/roberta-large-sst_pfeiffer	ah	roberta-large	sentiment	sst-2
@ukp/bert-base-multilingual-cased_vi_wiki_pfeiffer	ah	bert-base-multilingual-cased	vi	wiki
@ukp/xlm-roberta-base-gn-wiki_pfeiffer	ah	xlm-roberta-base	gn	wiki
@ukp/bert-base-multilingual-cased_wo_wiki_pfeiffer	ah	bert-base-multilingual-cased	wo	wiki
@ukp/bert-base-multilingual-cased_tr_wiki_pfeiffer	ah	bert-base-multilingual-cased	tr	wiki
@ukp/distilbert-base-uncased_sentiment_sst-2_pfeiffer	ah	distilbert-base-uncased	sentiment	sst-2
@ukp/distilbert-base-uncased_nli_qnli_pfeiffer	ah	distilbert-base-uncased	nli	qnli
@ukp/distilbert-base-uncased_nli_rte_houlsby	ah	distilbert-base-uncased	nli	rte
@ukp/xlm-roberta-large-my-wiki_pfeiffer	ah	xlm-roberta-large	my	wiki
@ukp/bert-base-multilingual-cased-is-wiki_houlsby	ah	bert-base-multilingual-cased	is	wiki
@ukp/bert-base-multilingual-cased-ru-wiki_pfeiffer	ah	bert-base-multilingual-cased	ru	wiki
@ukp/xlm-roberta-base-is-wiki_pfeiffer	ah	xlm-roberta-base	is	wiki
@ukp/bert-base-multilingual-cased-et-wiki_pfeiffer	ah	bert-base-multilingual-cased	et	wiki
@ukp/bert-base-uncased-hellaswag_pfeiffer	ah	bert-base-uncased	comsense	hellaswag
@ukp/bert-base-multilingual-cased-gn-wiki_pfeiffer	ah	bert-base-multilingual-cased	gn	wiki
@ukp/roberta-base-cola_houlsby	ah	roberta-base	lingaccept	cola
@ukp/distilbert-base-uncased_rc_multirc_pfeiffer	ah	distilbert-base-uncased	rc	multirc
@ukp/xlm-roberta-large-ja-wiki_pfeiffer	ah	xlm-roberta-large	ja	wiki
@ukp/xlm-roberta-base-id-wiki_pfeiffer	ah	xlm-roberta-base	id	wiki
@ukp/bert-base-multilingual-cased-fi-wiki_pfeiffer	ah	bert-base-multilingual-cased	fi	wiki
@ukp/bert-base-multilingual-cased_hu_wiki_pfeiffer	ah	bert-base-multilingual-cased	hu	wiki
@ukp/bert-base-multilingual-cased-qu-wiki_pfeiffer	ah	bert-base-multilingual-cased	qu	wiki
@ukp/gpt2_sentiment_sst-2_pfeiffer	ah	gpt2	sentiment	sst-2
@ukp/gpt2_sts_mrpc_pfeiffer	ah	gpt2	sts	mrpc
@ukp/bert-base-multilingual-cased_bh_wiki_pfeiffer	ah	bert-base-multilingual-cased	bh	wiki
@ukp/facebook-bart-base_nli_qnli_pfeiffer	ah	facebook/bart-base	nli	qnli
@ukp/roberta-base-imdb_pfeiffer	ah	roberta-base	sentiment	imdb
@ukp/bert-base-multilingual-cased-et-wiki_houlsby	ah	bert-base-multilingual-cased	et	wiki
@ukp/xlm-roberta-large-jv-wiki_pfeiffer	ah	xlm-roberta-large	jv	wiki
@ukp/roberta-base-sst_houlsby	ah	roberta-base	sentiment	sst-2
@ukp/distilbert-base-uncased_qa_squad1_pfeiffer	ah	distilbert-base-uncased	qa	squad1
@ukp/bert-base-multilingual-cased_wiki_bn_pfeiffer	ah	bert-base-multilingual-cased	bn	wiki
@ukp/bert-base-multilingual-cased_zh_yue_wiki_pfeiffer	ah	bert-base-multilingual-cased	zh_yue	wiki
@ukp/xlm-roberta-large-mhr-wiki_pfeiffer	ah	xlm-roberta-large	mhr	wiki
@ukp/bert-base-multilingual-cased_wikiann_ner_ar_pfeiffer	ah	bert-base-multilingual-cased	wikiann	ar
@ukp/xlm-roberta-base-ta-wiki_pfeiffer	ah	xlm-roberta-base	ta	wiki
@ukp/bert-base-multilingual-cased-sw-wiki_houlsby	ah	bert-base-multilingual-cased	sw	wiki
@ukp/facebook-bart-large_sum_xsum_pfeiffer	ah	facebook/bart-large	sum	xsum
@ukp/bert-base-multilingual-cased-is-wiki_pfeiffer	ah	bert-base-multilingual-cased	is	wiki
@ukp/roberta-base-cola_pfeiffer	ah	roberta-base	lingaccept	cola
@ukp/bert-base-multilingual-cased_cs_wiki_pfeiffer	ah	bert-base-multilingual-cased	cs	wiki
@ukp/facebook-bart-base_sts_qqp_pfeiffer	ah	facebook/bart-base	sts	qqp
@ukp/bert-base-multilingual-cased-hi-wiki_pfeiffer	ah	bert-base-multilingual-cased	hi	wiki
@ukp/bert-base-multilingual-cased-ja-wiki_pfeiffer	ah	bert-base-multilingual-cased	ja	wiki
@ukp/bert-base-multilingual-cased-zh-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	zh	wiki
@ukp/xlm-roberta-base-en-wiki_pfeiffer	ah	xlm-roberta-base	en	wiki
@ukp/bert-base-multilingual-cased-qu-wiki_houlsby	ah	bert-base-multilingual-cased	qu	wiki
@ukp/bert-base-multilingual-cased-el-wiki_houlsby	ah	bert-base-multilingual-cased	el	wiki
@ukp/distilbert-base-uncased_sts_sts-b_houlsby	ah	distilbert-base-uncased	sts	sts-b
@ukp/facebook-bart-large_sum_cnn_dailymail_houlsby	ah	facebook/bart-large	sum	cnn_dailymail
@ukp/bert-base-uncased_nli_multinli_houlsby	ah	bert-base-uncased	nli	multinli
@ukp/roberta-base-sts_b_pfeiffer	ah	roberta-base	sts	sts-b
@ukp/bert-base-multilingual-cased_wikiann_ner_en_pfeiffer	ah	bert-base-multilingual-cased	wikiann	en
@ukp/distilbert-base-uncased_sts_qqp_houlsby	ah	distilbert-base-uncased	sts	qqp
@ukp/bert-base-multilingual-cased-ar-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	ar	wiki
@ukp/bert-base-multilingual-cased-mhr-wiki_houlsby	ah	bert-base-multilingual-cased	mhr	wiki
@ukp/bert-base-multilingual-cased-mi-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	mi	wiki
@ukp/roberta-large-sst_houlsby	ah	roberta-large	sentiment	sst-2
@ukp/bert-base-multilingual-cased-mhr-wiki_pfeiffer	ah	bert-base-multilingual-cased	mhr	wiki
@ukp/bert-base-multilingual-cased_myv_wiki_pfeiffer	ah	bert-base-multilingual-cased	myv	wiki
@ukp/distilbert-base-uncased_nli_cb_pfeiffer	ah	distilbert-base-uncased	nli	cb
@ukp/xlm-roberta-large-xmf-wiki_pfeiffer	ah	xlm-roberta-large	xmf	wiki
@ukp/bert-base-multilingual-cased-my-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	my	wiki
@ukp/roberta-base-siqa_pfeiffer	ah	roberta-base	comsense	siqa
@ukp/roberta-base-qnli_pfeiffer	ah	roberta-base	nli	qnli
@ukp/bert-base-multilingual-cased-es-wiki_pfeiffer	ah	bert-base-multilingual-cased	es	wiki
@ukp/facebook-bart-base_lingaccept_cola_pfeiffer	ah	facebook/bart-base	lingaccept	cola
@ukp/facebook-bart-large_sum_cnn_dailymail_pfeiffer	ah	facebook/bart-large	sum	cnn_dailymail
@ukp/xlm-roberta-base-vi-wiki_pfeiffer	ah	xlm-roberta-base	vi	wiki
@ukp/bert-base-multilingual-cased-hi-wiki_houlsby	ah	bert-base-multilingual-cased	hi	wiki
@ukp/roberta-base_qa_squad2_pfeiffer	ah	roberta-base	qa	squad2
@ukp/gpt2_nli_multinli_pfeiffer	ah	gpt2	nli	multinli
@ukp/roberta-base-ukpsent1_pfeiffer	ah	roberta-base	argument	ukpsent
@ukp/bert-base-uncased_lingaccept_cola_houlsby	ah	bert-base-uncased	lingaccept	cola
@ukp/roberta-base-mrpc_houlsby	ah	roberta-base	sts	mrpc
@ukp/facebook-bart-base_nli_qnli_houlsby	ah	facebook/bart-base	nli	qnli
@ukp/xlm-roberta-large-tk-wiki_pfeiffer	ah	xlm-roberta-large	tk	wiki
@ukp/bert-base-uncased_qa_squad1_houlsby	ah	bert-base-uncased	qa	squad1
@ukp/bert-base-multilingual-cased_fa_wiki_pfeiffer	ah	bert-base-multilingual-cased	fa	wiki
@ukp/bert-base-multilingual-cased-ar-wiki_houlsby	ah	bert-base-multilingual-cased	ar	wiki
@ukp/xlm-roberta-base-sw-wiki_pfeiffer	ah	xlm-roberta-base	sw	wiki
@ukp/distilbert-base-uncased_sts_sts-b_pfeiffer	ah	distilbert-base-uncased	sts	sts-b
@ukp/facebook-bart-base_sts_mrpc_pfeiffer	ah	facebook/bart-base	sts	mrpc
@ukp/bert-base-multilingual-cased-jv-wiki_pfeiffer	ah	bert-base-multilingual-cased	jv	wiki
@ukp/bert-base-uncased_sts_sts-b_houlsby	ah	bert-base-uncased	sts	sts-b
@ukp/xlm-roberta-large-ar-wiki_pfeiffer	ah	xlm-roberta-large	ar	wiki
@ukp/distilbert-base-uncased_sts_mrpc_houlsby	ah	distilbert-base-uncased	sts	mrpc
@ukp/distilbert-base-uncased_sentiment_sst-2_houlsby	ah	distilbert-base-uncased	sentiment	sst-2
@ukp/bert-base-multilingual-cased-en-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	en	wiki
@ukp/distilbert-base-uncased_sts_mrpc_pfeiffer	ah	distilbert-base-uncased	sts	mrpc
@ukp/bert-base-multilingual-cased_eu_wiki_pfeiffer	ah	bert-base-multilingual-cased	eu	wiki
@ukp/bert-base-multilingual-cased-ko-wiki_houlsby	ah	bert-base-multilingual-cased	ko	wiki
@ukp/bert-base-multilingual-cased-ht-wiki_pfeiffer	ah	bert-base-multilingual-cased	ht	wiki
@ukp/bert-base-uncased_sts_qqp_houlsby	ah	bert-base-uncased	sts	qqp
@ukp/distilbert-base-uncased_sts_qqp_pfeiffer	ah	distilbert-base-uncased	sts	qqp
@ukp/bert-base-multilingual-cased_wikiann_ner_zh_pfeiffer	ah	bert-base-multilingual-cased	wikiann	zh1
@ukp/roberta-base_qa_squad1_houlsby	ah	roberta-base	qa	squad1
@ukp/bert-base-multilingual-cased-ru-wiki_houlsby	ah	bert-base-multilingual-cased	ru	wiki
@ukp/bert-base-multilingual-cased-sw-wiki_pfeiffer	ah	bert-base-multilingual-cased	sw	wiki
@ukp/xlm-roberta-base-my-wiki_pfeiffer	ah	xlm-roberta-base	my	wiki
@ukp/bert-base-uncased_nli_multinli_pfeiffer	ah	bert-base-uncased	nli	multinli
@ukp/xlm-roberta-base-mi-wiki_pfeiffer	ah	xlm-roberta-base	mi	wiki
@ukp/facebook-bart-base_nli_multinli_pfeiffer	ah	facebook/bart-base	nli	multinli
@ukp/bert-base-uncased-csqa_pfeiffer	ah	bert-base-uncased	comsense	csqa
@ukp/xlm-roberta-large-ilo-wiki_pfeiffer	ah	xlm-roberta-large	ilo	wiki
@ukp/roberta-base-qnli_houlsby	ah	roberta-base	nli	qnli
@ukp/bert-base-multilingual-cased-zh-wiki_pfeiffer	ah	bert-base-multilingual-cased	zh	wiki
@ukp/facebook-bart-base_sts_mrpc_houlsby	ah	facebook/bart-base	sts	mrpc
@ukp/bert-base-multilingual-cased-jv-wiki_houlsby	ah	bert-base-multilingual-cased	jv	wiki
@ukp/roberta-large-cola_houlsby	ah	roberta-large	lingaccept	cola
@ukp/distilbert-base-uncased_comsense_hellaswag_pfeiffer	ah	distilbert-base-uncased	comsense	hellaswag
@ukp/roberta-large-mrpc_houlsby	ah	roberta-large	sts	mrpc
@ukp/gpt2_sts_qqp_houlsby	ah	gpt2	sts	qqp
@ukp/bert-base-multilingual-cased-jv-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	jv	wiki
@ukp/roberta-base-winogrande_pfeiffer	ah	roberta-base	comsense	winogrande
@ukp/roberta-base-qqp_pfeiffer	ah	roberta-base	sts	qqp
@ukp/gpt2_nli_qnli_pfeiffer	ah	gpt2	nli	qnli
@martiansideofthemoon/xlm-roberta-base_formality_classify_gyafc_pfeiffer	ah	xlm-roberta-base	formality_classify	gyafc
@nirantk/bert-base-multilingual-uncased-hinglish-sentiment	ah	bert-base-multilingual-uncased	sentiment	hinglish-twitter-sentiment
@vblagoje/bert-base-uncased-conll2003_pfeiffer	ah	bert-base-uncased	chunk	conll2003
@vblagoje/bert-base-uncased-ldc2012t13_pfeiffer	ah	bert-base-uncased	pos	ldc2012t13
AdapterHub/narrativeqa	hf	facebook/bart-base	None	None
AdapterHub/bert-base-uncased-pf-conll2000	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-scicite	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-boolq	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-emotion	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-winogrande	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-duorc_s	hf	bert-base-uncased	None	None
